polarity,text
1,making homemde potato bread with sweetcorn nd onion yummy 
1,@petpostproject  I'm glad Pearl is doing so well.   Please kiss her for me.
0,@sunshineblows call me im bored 
0,Coorporative email server down 
1,@Schofe it wasn't the swearing. It was the mention of a body part - school boy humour- he thought it was funny 
1,@arjbarker Sweet! So Jemaine wasn't lying when he introduced you 
0," just been taken into a pet shop with @staceynoir tarantulas and mini crocodiles, ah quite scared. But i want a bearded dragon."
1,"@NeGrA_LiNdA LOL Good idea!!!   I am fabulous girlie!  Just had lunch, going to relax and then dive into some work."
0,"@Cassy_Obrien no i didnt. iwas at bump in.. why whats happened, baybay???  i love you too."
0,@PinkyMOoOn OOppppsss nesait akhaleh isawey download before i leave to wotk!!! 
1,@fernandapsi LOVE IT!  Good work 
0,Being sick in the summer is lame 
1,has been in bed all day..i love lazy sundays! now it's pub o'clock 
1,"@crowandcanary Maybe I just need to work on not feeling guilty about it, the taste was phenomenal! "
0,@tevarra @bkalai my Motorola S9 isn't seen by my iPhone at all! 
0,http://bit.ly/PRlUQ  How come all my favorite celebs are dying 
0,sitting on sisters computer 
1,@swfanworks Have fun! 
0,@sherrieberrie Hot and sour is good too.  Feel better.
0,My phones broken; have to go to the optus store tomorrow. I can't tweet or go on PALRINGO (spelt right  @ma3hem)  late at night 
0,"@pilgrimfamilyuk oh bless him,Eden got upset when I left her at school today  didnt look as though she was going to get her physio either"
1,@doombox sweet. i have lots of internet friends  they are often better than real friends  #andyhurleyday
0,"@MissVix Awwwwh, you are indeed honoured! I have to admit, I am slightly jealous of you right now. I want a kitty on my lap! "
0,THIS IS THE WORST HOLIDAY EVEEEERRRRR 
1,but my son brought me flowers... and the day was saved 
1,@Culleennx found ben lyons on twitter!! my life is complete 
0,"@Pikko wow pikko, do you have any body parts left? poor thing "
0,"'' Ugh?! ''  Thanks for the love, john!"
1,@jangsoo hrm... thanks dude. i guess it's back to tmobile for me then 
1,just cleaned my closet haha gosh i was bored 
1,@artvisions rainy Sunday mornings are perfect. enjoy your time @ starbucks. 
0,1 week to go until I hit the big 4-0 
0, nothing to do alll dayyyyyyy.
1,hello tweets! im new here 
0,"Ready for client meeting. Now working on Social Media workshop... that I was really interested in doing, but have since lost interest in. "
1,ADSLam Dobare Vasl shod 
0,@miamiamiaa why thank youu!! I am so jealous that you don't have an exam tomorrow  !! xx
0,naw heath ledger 
1,Off to the airport to fly a plane solo again  first have to drop daughter off at her new school...
1,"@cbmatthews Marketing is there to help sell a product or brand, but when you're winning, it turns into a means to celebrate your culture "
1,just painted my nails. soo cute! i cant help but feel so much better after a manicure 
1,"@greeneash so sweet, I really like the picture "
1,Real photographers are amazing and super nice people. 
0,@NevadaWolf not yet - GCN3R4 was archived 
0,What a way to spend Father's day... Travel w/o family. 
1,@lynn_jonas: Just watched the same video  Nick seems some kind of confused  What do you think about 'LVATT'?
1,@gigi4462 oh yes I did sexy men I thought it would make a lot of people happy including u 
0,@ArchisM @kaushal I'm here I'm here!!! But #twpp is oficially over guys 
0,"Wondering if nice, clean, safe, AFFORDABLE house rentals exist where I'm looking to move to. If today's an indication, then NO!!!! "
1,ooooooooo happy saturday!! 
1,"@SamTalent Ok  If you'll want, you can tell me EVERYTHING about it!!!! Don't worry, I'll be good listener. ;)"
1," I have finally seen Clerks, from beginning to end and no TV swear-word editing (poor Jay! xD). I feel somehow fulfilled."
0,last night at home  going to watch taylor swift special and MTV movie awards!
0,@iMikeyy would if i could. 
1,"I'll keep singing this song until our very end, cuz u know we're inseparable "
1,@KhloeKardashian what's camping without boating. Do both! 
0,listenin 2 your not sorry!!have a long week nxt week..hope nuthin bad happenz 2 her in surgery.. 
0,@liziporter go stick your head in a garbage disposal 
0,@JosephDexter i love it ! Night life and the music scene is always poppin. The rds sux tho i ended up gettin a flat tire 
0,Getting ready for work 
0,(Advertising) I mean it! OK!! I DON'T LIKE IT!! 
1,@mrtoobigent Get 100 followers a day using www.tweeteradder.com Once you add everyone you are on the train or pay vip 
1,"Meetnig up with meghan, then city to finally (hopefully) get my money and go shoppingg "
1,&quot;We don't support that...!&quot; http://bit.ly/hD8L7  
1,"@PaulTheZombie Oh I got it  TweetDeck, sounds nice. I'll try it !"
0,"How can ONE person be SO annoying? It seems impossible, yet true "
1,HAD A GREAT NITE CHATTIN WIT MY BOO BOW N YUNG BERG  GOODNITE TWITTERS
0,back home need to study physic 
1,I'm too sleepy to be here... but the Bahamas should be nice    http://twitpic.com/7j8qn
0,Anybody want a pittbull puppy. I have 4 right now that are making me wana run away 
0,@xJaixJaix  food poisoning....=yuck....
1,Working outtt 
0,@LittleGigiGirl Jr. finished in 12th place.   I'm happy for Jimmie Johnson. He's my 2nd fav driver.
0,@mekkanikal http://twitpic.com/2clh1 - I want that Wall-E toy 
0,So I've been doing &quot;real&quot; work all this weekend. Finally got it finished 5 mins ago and waiting on feedback. Expecting lots of bugs 
1,going outside on a mission to read some more of paperweight 
1,@Shedletsky Have a nice trip  I'm so excited to see all of these new hats when I go on Roblox. Your updates are amazing! Good work.
0,"I really miss the show Pushing Up Daisies on NBC, it was such a cute show &amp; it never deserved to be cancelled,damn u writer strikes! "
1,got a part in 'Road' 
0,won't be able to watch the game with everyone else tomorrow because I have class  But it's okay because I will be watching it in class!
0,"@shaundiviney you ate bradie?! :O so mean, u won't get anywhere without him  why'd u pick on him?...dying to ask, did he taste good? ;D"
0,@SongzYuuup Bbbbbooooo!!!! I wasn't invited 
0,Im bout to cry 
1,@SproutGuy Remind me to talk to you about your blog when I see you tomorrow. 
1,@sexynickey You jus make me smile.. U a mi baby too 
0,Playing nba live 09 on ps2 tho 
0,Feeelingg sooo sick   likee heappss
0,@hcice I had to miss all of it since I'm at work 
1,"I LOVEEE.. YOU, M/\MMY! :Xxx.. "
0,Talking about twitter at noodles with my Bffs...minutes away from heading back to  normal 
